strip,filename,box_size,x,y
207,./raw_images/2023-2-9_Wild Type_Dark Adapted_2_041_19k.png,200,1532,408
208,./raw_images/2023-2-9_Wild Type_Dark Adapted_2_041_19k.png,200,1668,1344
209,./raw_images/2023-2-9_Wild Type_Dark Adapted_2_041_19k.png,200,1124,996
210,./raw_images/2023-2-9_Wild Type_Dark Adapted_2_041_19k.png,200,1308,1156
211,./raw_images/2023-2-9_Wild Type_Dark Adapted_2_041_19k.png,200,572,1004
212,./raw_images/2023-2-9_Wild Type_Dark Adapted_2_041_19k.png,200,320,492
213,./raw_images/2023-7-26_Wild Type_500uE 1 hour_1_014_19k.png,200,792,556
214,./raw_images/2023-7-26_Wild Type_500uE 1 hour_1_014_19k.png,200,1724,1192
215,./raw_images/2023-7-26_Wild Type_500uE 1 hour_1_014_19k.png,200,1396,1668
216,./raw_images/2023-7-26_Wild Type_500uE 1 hour_1_014_19k.png,200,1736,1848
217,./raw_images/2023-7-26_Wild Type_500uE 1 hour_1_014_19k.png,200,1460,1096
218,./raw_images/2023-7-26_Wild Type_500uE 1 hour_1_033_19k.png,200,1356,340
219,./raw_images/2023-7-26_Wild Type_500uE 1 hour_1_033_19k.png,200,1224,1304
220,./raw_images/2023-7-26_Wild Type_500uE 1 hour_1_033_19k.png,200,1304,1624
221,./raw_images/2023-7-26_Wild Type_500uE 1 hour_3_008_19k.png,200,1640,608
222,./raw_images/2023-7-26_Wild Type_500uE 1 hour_3_008_19k.png,200,552,352
223,./raw_images/2023-7-26_Wild Type_500uE 1 hour_3_008_19k.png,200,424,776
224,./raw_images/2023-7-26_Wild Type_500uE 1 hour_3_024_19k.png,200,1084,732
225,./raw_images/2023-7-26_Wild Type_500uE 1 hour_3_024_19k.png,200,696,656
226,./raw_images/2023-7-26_Wild Type_500uE 1 hour_3_024_19k.png,200,1164,1252
227,./raw_images/2023-7-26_Wild Type_500uE 1 hour_3_024_19k.png,200,776,1324
228,./raw_images/2023-9-4_Wild Type_Dark Adapted_1_004_25k.png,200,900,1080
229,./raw_images/2023-9-4_Wild Type_Dark Adapted_1_004_25k.png,200,932,676
230,./raw_images/2023-9-4_Wild Type_Dark Adapted_1_004_25k.png,200,960,1360
231,./raw_images/2023-9-4_Wild Type_Dark Adapted_1_006_19k.png,200,1248,504
232,./raw_images/2023-9-4_Wild Type_Dark Adapted_1_006_19k.png,200,704,1596
233,./raw_images/2023-9-4_Wild Type_Dark Adapted_1_006_19k.png,200,472,1384
234,./raw_images/2023-9-4_Wild Type_Dark Adapted_1_006_19k.png,200,208,1364
235,./raw_images/2023-9-4_Wild Type_Dark Adapted_2_005_25k.png,200,1028,396
236,./raw_images/2023-9-4_Wild Type_Dark Adapted_2_005_25k.png,200,1228,528
237,./raw_images/2023-9-4_Wild Type_Dark Adapted_2_005_25k.png,200,1564,724
238,./raw_images/2023-9-4_Wild Type_Dark Adapted_2_005_25k.png,200,1844,1660
239,./raw_images/2023-9-4_Wild Type_Dark Adapted_2_005_25k.png,200,804,1848
240,./raw_images/2023-9-4_Wild Type_Dark Adapted_2_012_25k.png,200,1388,712
241,./raw_images/2023-9-4_Wild Type_Dark Adapted_2_012_25k.png,200,1224,252
242,./raw_images/2023-9-4_Wild Type_Dark Adapted_2_012_25k.png,200,1100,808
243,./raw_images/2023-9-4_Wild Type_Dark Adapted_2_012_25k.png,200,1240,1136
244,./raw_images/2023-9-4_Wild Type_Dark Adapted_2_012_25k.png,200,304,924
245,./raw_images/2023-9-4_Wild Type_Dark Adapted_2_016_25k.png,200,1232,704
246,./raw_images/2023-9-4_Wild Type_Dark Adapted_2_016_25k.png,200,1056,816
247,./raw_images/2023-9-4_Wild Type_Dark Adapted_2_016_25k.png,200,1104,260
248,./raw_images/2023-9-4_Wild Type_Dark Adapted_2_016_25k.png,200,916,1816
249,./raw_images/2023-9-4_Wild Type_Dark Adapted_3_003_25k.png,200,1508,1452
250,./raw_images/2023-9-4_Wild Type_Dark Adapted_3_003_25k.png,200,1284,1292
251,./raw_images/2023-9-4_Wild Type_Dark Adapted_3_012_25k.png,200,1532,1300
252,./raw_images/2023-9-4_Wild Type_Dark Adapted_3_012_25k.png,200,1128,1736
253,./raw_images/2023-9-4_Wild Type_Dark Adapted_3_012_25k.png,200,680,800
254,./raw_images/2023-9-4_Wild Type_Dark Adapted_3_012_25k.png,200,612,568
255,./raw_images/2023-9-4_Wild Type_Dark Adapted_3_012_25k.png,200,220,288
