strip,image_name,px_per_nm,nm_per_px,scale,scale_pixels,grana_height,membrane_width,membrane_width_heights,peaks,type,index,process,membrane_width_nm
187,output\trial_2\processed_images\1_otsuOffset\membrane\strip_187.png,0.88,1.1363636363636365,500,440,80.74632352941177,11.641711229946528,7650.0,36,membrane,1,1_otsuOffset,13.22921730675742
187,output\trial_2\processed_images\1_otsuOffset\membrane\strip_187.png,0.88,1.1363636363636365,500,440,80.74632352941177,11.045454545454549,7650.0,53,membrane,2,1_otsuOffset,12.551652892561988
187,output\trial_2\processed_images\1_otsuOffset\membrane\strip_187.png,0.88,1.1363636363636365,500,440,80.74632352941177,11.217086834733893,7650.0,69,membrane,3,1_otsuOffset,12.74668958492488
187,output\trial_2\processed_images\1_otsuOffset\membrane\strip_187.png,0.88,1.1363636363636365,500,440,80.74632352941177,10.954415954415964,7650.0,84,membrane,4,1_otsuOffset,12.44819994819996
187,output\trial_2\processed_images\1_otsuOffset\membrane\strip_187.png,0.88,1.1363636363636365,500,440,80.74632352941177,6.6875,7650.0,97,membrane,5,1_otsuOffset,7.599431818181819
229,output\trial_2\processed_images\1_otsuOffset\membrane\strip_229.png,1.095,0.91324200913242,200,219,122.96774193548389,7.00940860215054,7650.0,25,membrane,0,1_otsuOffset,6.401286394658027
229,output\trial_2\processed_images\1_otsuOffset\membrane\strip_229.png,1.095,0.91324200913242,200,219,122.96774193548389,11.990033222591356,7650.0,40,membrane,1,1_otsuOffset,10.949802029763795
229,output\trial_2\processed_images\1_otsuOffset\membrane\strip_229.png,1.095,0.91324200913242,200,219,122.96774193548389,12.0625,7650.0,58,membrane,2,1_otsuOffset,11.015981735159817
229,output\trial_2\processed_images\1_otsuOffset\membrane\strip_229.png,1.095,0.91324200913242,200,219,122.96774193548389,12.07717391304348,7650.0,76,membrane,3,1_otsuOffset,11.029382568989478
229,output\trial_2\processed_images\1_otsuOffset\membrane\strip_229.png,1.095,0.91324200913242,200,219,122.96774193548389,11.767361111111114,7650.0,93,membrane,4,1_otsuOffset,10.74644850329782
229,output\trial_2\processed_images\1_otsuOffset\membrane\strip_229.png,1.095,0.91324200913242,200,219,122.96774193548389,12.728506787330303,7650.0,110,membrane,5,1_otsuOffset,11.62420711171717
229,output\trial_2\processed_images\1_otsuOffset\membrane\strip_229.png,1.095,0.91324200913242,200,219,122.96774193548389,11.680288461538469,7650.0,128,membrane,6,1_otsuOffset,10.666930101861615
